case_id,round_index,observed_count,unrevealed_count,changed_hidden_labels,public_candidate_fingerprint_equal,source_prior_equal,saved_prompt_reproduced_exactly,saved_prompt_reproduced_compatibly,allowed_public_contract_drift,saved_prompt_declared_hash_valid,candidate_menu_invariant,menu_diagnostics_invariant,llm_prompt_invariant,true_prompt_sha256,shadow_prompt_sha256,pass
molecular_freesolv_to_esol,0,3,1125,1123,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,858c55e989684f7de8459844886079cd6355f31739dcc694b00a348aeff29f3c,858c55e989684f7de8459844886079cd6355f31739dcc694b00a348aeff29f3c,True
molecular_freesolv_to_esol,1,4,1124,1119,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,ab00ca6048d024bfa511a3f9382e9378181283f07530e68e299fcc779fc90d18,ab00ca6048d024bfa511a3f9382e9378181283f07530e68e299fcc779fc90d18,True
molecular_freesolv_to_esol,2,5,1123,1123,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,98c1ef64f521c695965ff6a48924ab0beb87598b0cdb35a0f1c35a30c7e0e136,98c1ef64f521c695965ff6a48924ab0beb87598b0cdb35a0f1c35a30c7e0e136,True
molecular_freesolv_to_esol,3,6,1122,1122,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,45b986e09f94168c2985bb1b27cbc49d3023cfe3e5b4d6c0749cd1992944c9ac,45b986e09f94168c2985bb1b27cbc49d3023cfe3e5b4d6c0749cd1992944c9ac,True
molecular_freesolv_to_esol,4,7,1121,1121,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,b44aec4f6b8cb45f8a70b50cc838792fc68c40bb05ba997ac5ae41ee1368a565,b44aec4f6b8cb45f8a70b50cc838792fc68c40bb05ba997ac5ae41ee1368a565,True
molecular_freesolv_to_esol,5,8,1120,1117,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,d67a8f8fec3aa1e6df1ce682327b3a0c7f8ef9307830ac91279d4eecd1c1894c,d67a8f8fec3aa1e6df1ce682327b3a0c7f8ef9307830ac91279d4eecd1c1894c,True
molecular_freesolv_to_esol,6,9,1119,1117,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,d24ccf13b3afb407afb6cb48ac8b339451faa72d28ffa98bb184bb8ab5f6ba96,d24ccf13b3afb407afb6cb48ac8b339451faa72d28ffa98bb184bb8ab5f6ba96,True
molecular_freesolv_to_esol,7,10,1118,1118,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,2f814f89198f2c8b0c280c5e9c17d9a8a2f1d60f6a608e3b2ea8f8377d3ac2d9,2f814f89198f2c8b0c280c5e9c17d9a8a2f1d60f6a608e3b2ea8f8377d3ac2d9,True
molecular_freesolv_to_esol,8,11,1117,1116,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,d0f6132240f9f6a60bce4c99e44ca64e93cd5e1cf440e143581722ad5d025430,d0f6132240f9f6a60bce4c99e44ca64e93cd5e1cf440e143581722ad5d025430,True
molecular_freesolv_to_esol,9,12,1116,1114,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,7465b950dcaad811821161f7162a3ab63a90376c55f20f70dab79b9a9bd89765,7465b950dcaad811821161f7162a3ab63a90376c55f20f70dab79b9a9bd89765,True
molecular_freesolv_to_lipophilicity,0,3,4197,4181,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,55c36d3ef78a92a9edb67e410dbba0e150913c087a6c415ff226517657ea7748,55c36d3ef78a92a9edb67e410dbba0e150913c087a6c415ff226517657ea7748,True
molecular_freesolv_to_lipophilicity,1,4,4196,4183,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,25b7d04c414bc8d3ca221b22779ef34be11b0c5ae8e22d4ce4e4ce1b5aa49ac6,25b7d04c414bc8d3ca221b22779ef34be11b0c5ae8e22d4ce4e4ce1b5aa49ac6,True
molecular_freesolv_to_lipophilicity,2,5,4195,4178,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,71800fd6e998ed10f57be67c04795150187c97910c9bbb9128dd4e4f6253a287,71800fd6e998ed10f57be67c04795150187c97910c9bbb9128dd4e4f6253a287,True
molecular_freesolv_to_lipophilicity,3,6,4194,4183,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,1b229eed0d631564110eb7abb969d4fd9c9197106839b3bd691fb4cdb8a81f18,1b229eed0d631564110eb7abb969d4fd9c9197106839b3bd691fb4cdb8a81f18,True
molecular_freesolv_to_lipophilicity,4,7,4193,4178,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,28da5a2eaa701b7189868d368f3ba94d8d753abe09f36dfa4019199992e32205,28da5a2eaa701b7189868d368f3ba94d8d753abe09f36dfa4019199992e32205,True
molecular_freesolv_to_lipophilicity,5,8,4192,4172,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,062c4be036ccf84feeae9af878642fe86fb16bcfd835445635c43906691a63d6,062c4be036ccf84feeae9af878642fe86fb16bcfd835445635c43906691a63d6,True
molecular_freesolv_to_lipophilicity,6,9,4191,4167,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,6e930957bbe9759d18068f6c0cc5efecddda0cc22bc3d730f10666c8fa0d32ff,6e930957bbe9759d18068f6c0cc5efecddda0cc22bc3d730f10666c8fa0d32ff,True
molecular_freesolv_to_lipophilicity,7,10,4190,4171,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,754f1278065f0f1baadb55f112db1518d7fed49e6a8d5db58bc9c48050c1f2d1,754f1278065f0f1baadb55f112db1518d7fed49e6a8d5db58bc9c48050c1f2d1,True
molecular_freesolv_to_lipophilicity,8,11,4189,4174,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,3fa937ce844c13c4a852aa71532267814ea38a4ea5dc29f42f89236065f16e6a,3fa937ce844c13c4a852aa71532267814ea38a4ea5dc29f42f89236065f16e6a,True
molecular_freesolv_to_lipophilicity,9,12,4188,4178,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,d1dc1ad49840b4deb59be1d8c6280c6e8228a7163aa8156d661b488f1f684d98,d1dc1ad49840b4deb59be1d8c6280c6e8228a7163aa8156d661b488f1f684d98,True
materials_expt_gap_to_dielectric,0,3,4761,4761,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,792a0e38b61918d949f43def566fb54f03a01309768d2a9a9805902f54ba03ba,792a0e38b61918d949f43def566fb54f03a01309768d2a9a9805902f54ba03ba,True
materials_expt_gap_to_dielectric,1,4,4760,4757,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,eb3502f6ba7f29b7f57409710533550e29318f14c06aa7f75f16331292d04603,eb3502f6ba7f29b7f57409710533550e29318f14c06aa7f75f16331292d04603,True
materials_expt_gap_to_dielectric,2,5,4759,4759,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,8c0cbdb5e9ddd6a814acb6e54748cb90637cbdd9704d0a2cf082449e8927830f,8c0cbdb5e9ddd6a814acb6e54748cb90637cbdd9704d0a2cf082449e8927830f,True
materials_expt_gap_to_dielectric,3,6,4758,4757,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,489523b90f179508d89be0ae51309b8f31d0a858791d1acca63651e599daf914,489523b90f179508d89be0ae51309b8f31d0a858791d1acca63651e599daf914,True
materials_expt_gap_to_dielectric,4,7,4757,4757,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,19ee5ddaf49f61165f3f68c33c8a2a208244204bae8452dccd918fa526b73ccc,19ee5ddaf49f61165f3f68c33c8a2a208244204bae8452dccd918fa526b73ccc,True
materials_expt_gap_to_dielectric,5,8,4756,4755,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,2424052ff71f458dd387bbff2e26c7c1de8a8e0597c98ba24192bdf996d21e07,2424052ff71f458dd387bbff2e26c7c1de8a8e0597c98ba24192bdf996d21e07,True
materials_expt_gap_to_dielectric,6,9,4755,4752,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,f6643fb9e3383ce31b3b32961b3ac13f04478a6635ef6dddcf981151b8251ac1,f6643fb9e3383ce31b3b32961b3ac13f04478a6635ef6dddcf981151b8251ac1,True
materials_expt_gap_to_dielectric,7,10,4754,4753,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,7af45051157404c35fe7a270682d78cbde5d97de3a6d34b45b329d16a5b21fef,7af45051157404c35fe7a270682d78cbde5d97de3a6d34b45b329d16a5b21fef,True
materials_expt_gap_to_dielectric,8,11,4753,4749,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,f672d5a9b0df6b3a4ff04c3a63548dea9504b138ef892fb23d9e919ed2b7f133,f672d5a9b0df6b3a4ff04c3a63548dea9504b138ef892fb23d9e919ed2b7f133,True
materials_expt_gap_to_dielectric,9,12,4752,4750,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,fffc21e78cda05be3c78882d11aa4466b8876868de7bd217506b452119da3d2e,fffc21e78cda05be3c78882d11aa4466b8876868de7bd217506b452119da3d2e,True
materials_phonons_to_bulk_modulus,0,3,10984,10931,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,407509ac13b34e2def969d590754289e848b81e88f8458895527045696811252,407509ac13b34e2def969d590754289e848b81e88f8458895527045696811252,True
materials_phonons_to_bulk_modulus,1,4,10983,10935,True,True,False,True,['target.outcome_semantics_added_after_archive'],True,True,True,True,eeee968c3c253978b097aa741463f4fd3529b2437733a2377df8ab97ad39c2c8,eeee968c3c253978b097aa741463f4fd3529b2437733a2377df8ab97ad39c2c8,True
